review,rating,date,bank,source,sentiment_label,sentiment_score
Application አንዳንዴ ቀርፋፋ ነው። ለምን ?,3,2025-07-10,Commercial Bank of Ethiopia,Google Play,negative,0.97027188539505
ok,5,2025-07-09,Commercial Bank of Ethiopia,Google Play,positive,0.9997851252555848
option app mobile banking,5,2025-07-09,Commercial Bank of Ethiopia,Google Play,positive,0.8521431684494019
good,5,2025-07-08,Commercial Bank of Ethiopia,Google Play,positive,0.999816119670868
it was so good app to use easily safely and quickly also to gate the receipt,5,2025-07-08,Commercial Bank of Ethiopia,Google Play,positive,0.9983164072036744
very poor and even not sho the balance and transaction history,1,2025-07-07,Commercial Bank of Ethiopia,Google Play,negative,0.9995904564857484
እሽ,5,2025-07-07,Commercial Bank of Ethiopia,Google Play,negative,0.6970565915107727
Good app,5,2025-07-07,Commercial Bank of Ethiopia,Google Play,positive,0.9998493194580078
best,5,2025-07-06,Commercial Bank of Ethiopia,Google Play,positive,0.9997941851615906
this is very good app but what is bucket override i don't get,4,2025-07-06,Commercial Bank of Ethiopia,Google Play,negative,0.9767497181892396
The best of mobile banking in Ethiopia 🇪🇹,5,2025-07-06,Commercial Bank of Ethiopia,Google Play,positive,0.9998003840446472
"it's just a basic app, you could do a lot better I couldn't see my 2 months statement even",1,2025-07-06,Commercial Bank of Ethiopia,Google Play,negative,0.9993597865104676
don't work,1,2025-07-05,Commercial Bank of Ethiopia,Google Play,negative,0.9997063279151917
የሚስጥር ኮድ አሀዙ የበዛ መሆኑ አስተማማኝነቱ የጨምራል ።,5,2025-07-05,Commercial Bank of Ethiopia,Google Play,negative,0.9239577651023864
nice !,4,2025-07-05,Commercial Bank of Ethiopia,Google Play,positive,0.999863862991333
Samsung s05 have no government utility payment options Please fix on the next update,1,2025-07-05,Commercial Bank of Ethiopia,Google Play,negative,0.9979221224784852
v.good,5,2025-07-04,Commercial Bank of Ethiopia,Google Play,positive,0.994877278804779
"It is developed in a simple way, but what if you add a notebook, like to save some info or other bank account number",4,2025-07-04,Commercial Bank of Ethiopia,Google Play,negative,0.9958800077438354
